run_id,time,node_id,x,y,neighbor_count,avg_rssi,tx_packets,rx_packets,lost_packets,delay_sum
14,9.0,27.0,337.785,473.018,1.0,-40.272,0,0,0,0.0
14,9.0,28.0,139.487,212.651,4.0,-39.175,0,0,0,0.0
14,9.0,29.0,230.964,279.098,6.0,-37.168,0,0,0,0.0
14,10.0,0.0,212.801,108.197,5.0,-34.074,0,0,0,0.0
14,10.0,1.0,376.237,349.598,3.0,-34.666,0,0,0,0.0
14,10.0,2.0,96.584,197.857,3.0,-40.638,0,0,0,0.0
14,10.0,3.0,445.275,238.519,1.0,-41.008,0,0,0,0.0
14,10.0,4.0,215.505,305.36,6.0,-38.737,0,0,0,0.0
14,10.0,5.0,44.975,295.111,3.0,-34.314,0,0,0,0.0
14,10.0,6.0,232.161,252.841,8.0,-35.423,0,0,0,0.0
14,10.0,7.0,265.297,20.946,2.0,-39.345,0,0,0,0.0
14,10.0,8.0,204.782,232.221,10.0,-37.689,0,0,0,0.0
14,10.0,9.0,279.124,207.591,8.0,-36.503,0,0,0,0.0
14,10.0,10.0,344.564,317.697,2.0,-35.853,0,0,0,0.0
14,10.0,11.0,124.819,281.859,7.0,-41.684,0,0,0,0.0
14,10.0,12.0,407.056,451.394,2.0,-37.52,0,0,0,0.0
14,10.0,13.0,206.285,34.392,3.0,-38.68,0,0,0,0.0
14,10.0,14.0,342.793,93.986,1.0,-43.774,0,0,0,0.0
14,10.0,15.0,36.892,259.429,4.0,-38.684,0,0,0,0.0
14,10.0,16.0,254.614,147.073,8.0,-36.034,0,0,0,0.0
14,10.0,17.0,272.801,217.513,8.0,-35.902,0,0,0,0.0
14,10.0,18.0,446.65,317.991,3.0,-38.28,0,0,0,0.0
14,10.0,19.0,206.934,363.338,2.0,-40.34,0,0,0,0.0
14,10.0,20.0,249.873,126.001,8.0,-36.465,0,0,0,0.0
14,10.0,21.0,453.942,441.569,1.0,-34.411,0,0,0,0.0
14,10.0,22.0,406.092,334.179,3.0,-33.706,0,0,0,0.0
14,10.0,23.0,232.009,94.634,6.0,-35.153,0,0,0,0.0
14,10.0,24.0,223.427,212.873,10.0,-36.866,0,0,0,0.0
14,10.0,25.0,226.45,160.642,10.0,-37.611,0,0,0,0.0
14,10.0,26.0,73.564,317.491,3.0,-35.921,0,0,0,0.0
